url,filing_uuid,filing_type,filing_type_display,filing_year,filing_period,filing_period_display,filing_document_url,filing_document_content_type,income,expenses,expenses_method,expenses_method_display,posted_by_name,dt_posted,termination_date,registrant_country,registrant_ppb_country,registrant_address_1,registrant_address_2,registrant_different_address,registrant_city,registrant_state,registrant_zip,registrant,client,lobbying_activities,conviction_disclosures,foreign_entities,affiliated_organizations
https://lda.senate.gov/api/v1/filings/160bf10e-d9a2-4e2f-9beb-a709d030a865/,160bf10e-d9a2-4e2f-9beb-a709d030a865,2AY,2nd Quarter - Amendment (No Activity),2019,second_quarter,2nd Quarter (Apr 1 - June 30),https://lda.senate.gov/filings/public/filing/160bf10e-d9a2-4e2f-9beb-a709d030a865/print/,text/html,,,,,Keeley McManes,2019-07-03T14:45:21.697000-04:00,,United States of America,,535 North Capitol Ave,,False,Lansing,MI,48933,"{'id': 40006040, 'url': 'https://lda.senate.gov/api/v1/registrants/40006040/', 'house_registrant_id': 39780, 'name': 'SCOFES & ASSOCIATES CONSULTING INC', 'description': 'Multi-client governmental consulting firm offering legislative relations', 'address_1': '535 North Capitol Ave', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Lansing', 'state': 'MI', 'state_display': 'Michigan', 'zip': '48933', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'TERESA L. BAKER', 'contact_telephone': '+1 517-485-5536', 'dt_updated': '2024-01-15T17:39:56.497437-05:00'}","{'id': 187509, 'url': 'https://lda.senate.gov/api/v1/clients/187509/', 'client_id': 90, 'name': 'DOUGLAS J INSTITUTE', 'general_description': 'Cosmetology Education', 'client_government_entity': False, 'client_self_select': None, 'state': 'MI', 'state_display': 'Michigan', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'MI', 'ppb_state_display': 'Michigan', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2019-03-04'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/eff1fd20-4396-44a0-b9c6-2ae48876f2a7/,eff1fd20-4396-44a0-b9c6-2ae48876f2a7,2AY,2nd Quarter - Amendment (No Activity),2019,second_quarter,2nd Quarter (Apr 1 - June 30),https://lda.senate.gov/filings/public/filing/eff1fd20-4396-44a0-b9c6-2ae48876f2a7/print/,text/html,,,,,"Richard M. Gold, Partner",2019-07-05T11:08:10.407000-04:00,,United States of America,,"800 17th Street, NW, Suite 1100",,False,Washington,DC,20006,"{'id': 18466, 'url': 'https://lda.senate.gov/api/v1/registrants/18466/', 'house_registrant_id': 30825, 'name': 'HOLLAND & KNIGHT LLP', 'description': 'Law Firm', 'address_1': '800 17th Street NW', 'address_2': 'Suite 1100', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20006', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'RICHARD GOLD', 'contact_telephone': '+1 202-955-3000', 'dt_updated': '2024-01-30T18:04:31.391327-05:00'}","{'id': 125147, 'url': 'https://lda.senate.gov/api/v1/clients/125147/', 'client_id': 1005037, 'name': 'SAN MANUEL BAND OF SERRANO MISSION INDIANS', 'general_description': None, 'client_government_entity': False, 'client_self_select': None, 'state': None, 'state_display': None, 'country': '', 'country_display': '* Undetermined', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': '', 'ppb_country_display': '* Undetermined', 'effective_date': '2008-01-08'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/2f221c97-ed45-48e9-bf7e-1af570be49f0/,2f221c97-ed45-48e9-bf7e-1af570be49f0,2AY,2nd Quarter - Amendment (No Activity),2019,second_quarter,2nd Quarter (Apr 1 - June 30),https://lda.senate.gov/filings/public/filing/2f221c97-ed45-48e9-bf7e-1af570be49f0/print/,text/html,,,,,Rhonda K Grant,2019-07-09T15:15:32.523000-04:00,,United States of America,,"620 S Capitol Avenue, Suite 100",,False,Lansing,MI,48933,"{'id': 89155, 'url': 'https://lda.senate.gov/api/v1/registrants/89155/', 'house_registrant_id': 36690, 'name': 'GRANT CONSULTING GROUP', 'description': 'consulting firm', 'address_1': '620 S Capitol Avenue, Suite 100', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'Lansing', 'state': 'MI', 'state_display': 'Michigan', 'zip': '48933', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'RHONDA GRANT', 'contact_telephone': '+1 517-367-2088', 'dt_updated': '2024-01-09T13:28:55.849775-05:00'}","{'id': 174128, 'url': 'https://lda.senate.gov/api/v1/clients/174128/', 'client_id': 443, 'name': 'MULTI PARTS', 'general_description': 'Manufacturing', 'client_government_entity': False, 'client_self_select': None, 'state': 'FL', 'state_display': 'Florida', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'FL', 'ppb_state_display': 'Florida', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2018-05-21'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/30c0427b-ae13-4ef4-a665-fb913d6f346f/,30c0427b-ae13-4ef4-a665-fb913d6f346f,2AY,2nd Quarter - Amendment (No Activity),2019,second_quarter,2nd Quarter (Apr 1 - June 30),https://lda.senate.gov/filings/public/filing/30c0427b-ae13-4ef4-a665-fb913d6f346f/print/,text/html,,,,,Stephen Arthur,2019-07-16T14:01:04.347000-04:00,,United States of America,,"819 7th STREET NW, Suite 400",,False,WASHINGTON,DC,20001,"{'id': 13712, 'url': 'https://lda.senate.gov/api/v1/registrants/13712/', 'house_registrant_id': 32310, 'name': 'EOP GROUP, INC.', 'description': 'Advocacy for related grant work', 'address_1': '819 7th Street NW', 'address_2': 'Suite 400', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20001', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': ""MR. MICHAEL J. O'BANNON"", 'contact_telephone': '+1 202-833-8940', 'dt_updated': '2024-01-30T17:06:30.814264-05:00'}","{'id': 119074, 'url': 'https://lda.senate.gov/api/v1/clients/119074/', 'client_id': 238, 'name': 'NUCLEAR ENERGY INSTITUTE', 'general_description': None, 'client_government_entity': False, 'client_self_select': None, 'state': 'DC', 'state_display': 'District of Columbia', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2007-10-02'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/a078dbee-4ebb-4611-83b1-f32a8b945655/,a078dbee-4ebb-4611-83b1-f32a8b945655,2AY,2nd Quarter - Amendment (No Activity),2019,second_quarter,2nd Quarter (Apr 1 - June 30),https://lda.senate.gov/filings/public/filing/a078dbee-4ebb-4611-83b1-f32a8b945655/print/,text/html,,,,,Stephen Arthur,2019-07-16T14:11:25.237000-04:00,,United States of America,,"819 7th STREET NW, Suite 400",,False,WASHINGTON,DC,20001,"{'id': 13712, 'url': 'https://lda.senate.gov/api/v1/registrants/13712/', 'house_registrant_id': 32310, 'name': 'EOP GROUP, INC.', 'description': 'Advocacy for related grant work', 'address_1': '819 7th Street NW', 'address_2': 'Suite 400', 'address_3': None, 'address_4': None, 'city': 'Washington', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20001', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': ""MR. MICHAEL J. O'BANNON"", 'contact_telephone': '+1 202-833-8940', 'dt_updated': '2024-01-30T17:06:30.814264-05:00'}","{'id': 119111, 'url': 'https://lda.senate.gov/api/v1/clients/119111/', 'client_id': 975, 'name': 'NRG ENERGY INC.', 'general_description': None, 'client_government_entity': False, 'client_self_select': None, 'state': None, 'state_display': None, 'country': '', 'country_display': '* Undetermined', 'ppb_state': None, 'ppb_state_display': None, 'ppb_country': '', 'ppb_country_display': '* Undetermined', 'effective_date': '2007-11-28'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/34eb87a7-a60d-4384-91d5-43366b7a0a3a/,34eb87a7-a60d-4384-91d5-43366b7a0a3a,2AY,2nd Quarter - Amendment (No Activity),2019,second_quarter,2nd Quarter (Apr 1 - June 30),https://lda.senate.gov/filings/public/filing/34eb87a7-a60d-4384-91d5-43366b7a0a3a/print/,text/html,,,,,"Glenn Willard, Of Counsel",2019-07-16T15:48:30.107000-04:00,,United States of America,,"2550 M STREET, NW",,,WASHINGTON,DC,20037,"{'id': 30906, 'url': 'https://lda.senate.gov/api/v1/registrants/30906/', 'house_registrant_id': 31917, 'name': 'SQUIRE PATTON BOGGS', 'description': 'Law Firm', 'address_1': '2550 M STREET, NW', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'WASHINGTON', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20037', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'GLENN WILLARD', 'contact_telephone': '+1 202-457-6000', 'dt_updated': '2024-01-22T14:59:52.054923-05:00'}","{'id': 137040, 'url': 'https://lda.senate.gov/api/v1/clients/137040/', 'client_id': 12157, 'name': 'OHIO UNIVERSITY', 'general_description': None, 'client_government_entity': True, 'client_self_select': None, 'state': 'OH', 'state_display': 'Ohio', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'OH', 'ppb_state_display': 'Ohio', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2007-08-13'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/d9ac915a-5dbb-4f5f-a4fd-0a27a06cd0f5/,d9ac915a-5dbb-4f5f-a4fd-0a27a06cd0f5,2AY,2nd Quarter - Amendment (No Activity),2019,second_quarter,2nd Quarter (Apr 1 - June 30),https://lda.senate.gov/filings/public/filing/d9ac915a-5dbb-4f5f-a4fd-0a27a06cd0f5/print/,text/html,,,a,Method A - Reporting amounts using LDA definitions only,David Griffith,2019-07-16T17:10:29.787000-04:00,,United States of America,,1703 N. BEAUREGARD STREET,,False,ALEXANDRIA,VA,22311,"{'id': 301653, 'url': 'https://lda.senate.gov/api/v1/registrants/301653/', 'house_registrant_id': 37785, 'name': 'ASCD', 'description': None, 'address_1': '1703 N. BEAUREGARD STREET', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'ALEXANDRIA', 'state': 'VA', 'state_display': 'Virginia', 'zip': '22311', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'DAVID GRIFFITH', 'contact_telephone': '+1 703-575-5621', 'dt_updated': '2023-06-06T16:25:14.405970-04:00'}","{'id': 180706, 'url': 'https://lda.senate.gov/api/v1/clients/180706/', 'client_id': 12, 'name': 'ASCD', 'general_description': None, 'client_government_entity': False, 'client_self_select': True, 'state': 'VA', 'state_display': 'Virginia', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'VA', 'ppb_state_display': 'Virginia', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2005-09-06'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/841876d0-43be-49e2-bfe9-e23fc816fd39/,841876d0-43be-49e2-bfe9-e23fc816fd39,2AY,2nd Quarter - Amendment (No Activity),2019,second_quarter,2nd Quarter (Apr 1 - June 30),https://lda.senate.gov/filings/public/filing/841876d0-43be-49e2-bfe9-e23fc816fd39/print/,text/html,,,,,Dina Ellis Rochkind,2019-07-17T15:45:10.217000-04:00,,United States of America,,"875 15TH STREET, NW",,False,WASHINGTON,DC,20005,"{'id': 30928, 'url': 'https://lda.senate.gov/api/v1/registrants/30928/', 'house_registrant_id': 31149, 'name': 'PAUL HASTINGS LLP', 'description': 'law firm', 'address_1': '2050 M STREET, NW', 'address_2': None, 'address_3': None, 'address_4': None, 'city': 'WASHINGTON', 'state': 'DC', 'state_display': 'District of Columbia', 'zip': '20036', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'DINA ELLIS ROCHKIND', 'contact_telephone': '+1 202-551-1938', 'dt_updated': '2024-01-18T12:07:41.378647-05:00'}","{'id': 137875, 'url': 'https://lda.senate.gov/api/v1/clients/137875/', 'client_id': 1005026, 'name': 'SYNIVERSE TECHNOLOGIES LLC', 'general_description': 'Telecommunications', 'client_government_entity': False, 'client_self_select': None, 'state': 'FL', 'state_display': 'Florida', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'FL', 'ppb_state_display': 'Florida', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2017-12-12'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/4a26f308-008c-4c81-a0bc-8550d7a62b6b/,4a26f308-008c-4c81-a0bc-8550d7a62b6b,2AY,2nd Quarter - Amendment (No Activity),2019,second_quarter,2nd Quarter (Apr 1 - June 30),https://lda.senate.gov/filings/public/filing/4a26f308-008c-4c81-a0bc-8550d7a62b6b/print/,text/html,,,,,Kevin Washam,2019-07-17T16:25:32.140000-04:00,,United States of America,United States of America,11850 Freedom Drive,#101,False,Reston,VA,20190,"{'id': 401104064, 'url': 'https://lda.senate.gov/api/v1/registrants/401104064/', 'house_registrant_id': 401104064, 'name': 'HILL IMPACT', 'description': 'Government Relations and Communications', 'address_1': '3033 Wilson Blvd', 'address_2': 'Suite E(617)', 'address_3': None, 'address_4': None, 'city': 'Arlington', 'state': 'VA', 'state_display': 'Virginia', 'zip': '22201', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'DAN HILL', 'contact_telephone': '+1 202-657-0011', 'dt_updated': '2022-04-06T16:07:30.042059-04:00'}","{'id': 200705, 'url': 'https://lda.senate.gov/api/v1/clients/200705/', 'client_id': 24, 'name': 'FLEX (FKA FLEXTRONICS INTERNATIONAL USA, INC)', 'general_description': '(EMS) provider; delivering complete design, engineering and manufacturing services', 'client_government_entity': False, 'client_self_select': None, 'state': 'CA', 'state_display': 'California', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'CA', 'ppb_state_display': 'California', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2016-06-01'}",[],[],[],[]
https://lda.senate.gov/api/v1/filings/234fc80e-42b2-4d05-a9d4-58738c480d6c/,234fc80e-42b2-4d05-a9d4-58738c480d6c,2AY,2nd Quarter - Amendment (No Activity),2019,second_quarter,2nd Quarter (Apr 1 - June 30),https://lda.senate.gov/filings/public/filing/234fc80e-42b2-4d05-a9d4-58738c480d6c/print/,text/html,,,,,Kevin Washam,2019-07-17T16:25:33.517000-04:00,,United States of America,,11850 Freedom Drive,Suite 101,False,Reston,VA,20190,"{'id': 401104064, 'url': 'https://lda.senate.gov/api/v1/registrants/401104064/', 'house_registrant_id': 401104064, 'name': 'HILL IMPACT', 'description': 'Government Relations and Communications', 'address_1': '3033 Wilson Blvd', 'address_2': 'Suite E(617)', 'address_3': None, 'address_4': None, 'city': 'Arlington', 'state': 'VA', 'state_display': 'Virginia', 'zip': '22201', 'country': 'US', 'country_display': 'United States of America', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'contact_name': 'DAN HILL', 'contact_telephone': '+1 202-657-0011', 'dt_updated': '2022-04-06T16:07:30.042059-04:00'}","{'id': 200709, 'url': 'https://lda.senate.gov/api/v1/clients/200709/', 'client_id': 48, 'name': 'APTIV PLC', 'general_description': 'Autonomous technology development, manufacturing and sales', 'client_government_entity': False, 'client_self_select': None, 'state': 'MI', 'state_display': 'Michigan', 'country': 'US', 'country_display': 'United States of America', 'ppb_state': 'MI', 'ppb_state_display': 'Michigan', 'ppb_country': 'US', 'ppb_country_display': 'United States of America', 'effective_date': '2018-08-06'}",[],[],[],[]
